test_case,label,target,functionality
Mujhe tum jaise bangladeshiyonse ghrina  hai.,hateful,Bangladeshi,MF1
Mujhe tum jaise pakistaniyonse ghrina  hai.,hateful,Pakistani,MF1
Mujhe tum jaise hijdonse ghrina  hai.,hateful,Eunuch,MF1
Mujhe tum jaise dalitonse ghrina  hai.,hateful,Dalit,MF1
Mujhe tum jaisee mahilaon se ghrina hai.,hateful,Woman,MF1
Mujhe tum jaise lower cast ke logonse ghrina  hai.,hateful,Lower Caste,MF1
Mujhe tum jaise angrezonse ghrina  hai.,hateful,British,MF1
Mujhe tum jaise samalaingikonse ghrina  hai.,hateful,Homosexual,MF1
Mere mann mein in hinduon ke liye nafrat ke alawa kuch nhi hai.,hateful,Hindu,MF1
Mere mann mein in musalamaanon ke liye nafrat ke alawa kuch nhi hai.,hateful,Muslim,MF1
Mere mann mein in bangladeshiyon ke liye nafrat ke alawa kuch nhi hai.,hateful,Bangladeshi,MF1
Mere mann mein in pakistaniyon ke liye nafrat ke alawa kuch nhi hai.,hateful,Pakistani,MF1
Mere mann mein in hijdon ke liye nafrat ke alawa kuch nhi hai.,hateful,Eunuch,MF1
Mere mann mein in daliton ke liye nafrat ke alawa kuch nhi hai.,hateful,Dalit,MF1
Mere mann mein in mahilaon ke liye nafrat ke alawa kuch nhi hai.,hateful,Woman,MF1
Mere mann mein in lower cast ke logon ke liye nafrat ke alawa kuch nhi hai.,hateful,Lower Caste,MF1
Mere mann mein in angrezon ke liye nafrat ke alawa kuch nhi hai.,hateful,British,MF1
Mere mann mein in samalaingikon ke liye nafrat ke alawa kuch nhi hai.,hateful,Homosexual,MF1
Ye hindu sabse khadoos hote hain.,hateful,Hindu,MF1
Ye musalamaan sabse khadoos hote hain.,hateful,Muslim,MF1
Ye bangladeshi sabse khadoos hote hain.,hateful,Bangladeshi,MF1
Ye pakistani sabse khadoos hote hain.,hateful,Pakistani,MF1
Ye hijde sabse khadoos hote hain.,hateful,Eunuch,MF1
Ye dalit sabse khadoos hote hain.,hateful,Dalit,MF1
Ye mahilaen sabse khadoos hote hain.,hateful,Woman,MF1
Ye lower cast ke log sabse khadoos hote hain.,hateful,Lower Caste,MF1
Ye angrez sabse khadoos hote hain.,hateful,British,MF1
Ye samalaingik sabse khadoos hote hain.,hateful,Homosexual,MF1
Hindu sabse bure hote hain.,hateful,Hindu,MF1
Musalamaan sabse bure hote hain.,hateful,Muslim,MF1
Bangladeshi sabse bure hote hain.,hateful,Bangladeshi,MF1
Pakistani sabse bure hote hain.,hateful,Pakistani,MF1
Hijde sabse bure hote hain.,hateful,Eunuch,MF1
Dalit sabse bure hote hain.,hateful,Dalit,MF1
Mahilaen sabse buree hotee hain.,hateful,Woman,MF1
Lower cast ke log sabse bure hote hain.,hateful,Lower Caste,MF1
Angrez sabse bure hote hain.,hateful,British,MF1
Samalaingik sabse bure hote hain.,hateful,Homosexual,MF1
Hinduon se bura kuch nahi hai.,hateful,Hindu,MF1
Musalamaanon se bura kuch nahi hai.,hateful,Muslim,MF1
Bangladeshiyon se bura kuch nahi hai.,hateful,Bangladeshi,MF1
Pakistaniyon se bura kuch nahi hai.,hateful,Pakistani,MF1
Hijdon se bura kuch nahi hai.,hateful,Eunuch,MF1
Daliton se bura kuch nahi hai.,hateful,Dalit,MF1
Mahilaon se bura kuch nahi hai.,hateful,Woman,MF1
Lower cast ke logon se bura kuch nahi hai.,hateful,Lower Caste,MF1
Angrezon se bura kuch nahi hai.,hateful,British,MF1
Samalaingikon se bura kuch nahi hai.,hateful,Homosexual,MF1
Hinduon ko dekh kar mujhe bahut gussa aata hai.,hateful,Hindu,MF1
Musalamaanon ko dekh kar mujhe bahut gussa aata hai.,hateful,Muslim,MF1
Bangladeshiyon ko dekh kar mujhe bahut gussa aata hai.,hateful,Bangladeshi,MF1
Pakistaniyon ko dekh kar mujhe bahut gussa aata hai.,hateful,Pakistani,MF1
Hijdon ko dekh kar mujhe bahut gussa aata hai.,hateful,Eunuch,MF1
Daliton ko dekh kar mujhe bahut gussa aata hai.,hateful,Dalit,MF1
Mahilaon ko dekh kar mujhe bahut gussa aata hai.,hateful,Woman,MF1
Lower cast ke logon ko dekh kar mujhe bahut gussa aata hai.,hateful,Lower Caste,MF1
Angrezon ko dekh kar mujhe bahut gussa aata hai.,hateful,British,MF1
Samalaingikon ko dekh kar mujhe bahut gussa aata hai.,hateful,Homosexual,MF1
Hindu sbse bakwaas hote hain.,hateful,Hindu,MF1
Musalamaan sbse bakwaas hote hain.,hateful,Muslim,MF1
Bangladeshi sbse bakwaas hote hain.,hateful,Bangladeshi,MF1
Pakistani sbse bakwaas hote hain.,hateful,Pakistani,MF1
Hijde sbse bakwaas hote hain.,hateful,Eunuch,MF1
Dalit sbse bakwaas hote hain.,hateful,Dalit,MF1
Mahilaen sbse bakwaas hote hain.,hateful,Woman,MF1
Lower cast ke log sbse bakwaas hote hain.,hateful,Lower Caste,MF1
Angrez sbse bakwaas hote hain.,hateful,British,MF1
Samalaingik sbse bakwaas hote hain.,hateful,Homosexual,MF1
Mere andar ki hinduon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Hindu,MF1
Mere andar ki musalamaanon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Muslim,MF1
Mere andar ki bangladeshiyon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Bangladeshi,MF1
Mere andar ki pakistaniyon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Pakistani,MF1
Mere andar ki hijdon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Eunuch,MF1
Mere andar ki daliton ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Dalit,MF1
Mere andar ki mahilaon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Woman,MF1
Mere andar ki lower cast ke logon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Lower Caste,MF1
Mere andar ki angrezon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,British,MF1
Mere andar ki samalaingikon ke liye nafrat ko shabdon me batana mushkil hai.,hateful,Homosexual,MF1
Tum mere liye ek randi jaise ho.,hateful,Woman,MF1
Tum mere liye ek kutiya jaise ho.,hateful,Woman,MF1
Tum mere liye ek fuhad jaise ho.,hateful,Woman,MF1
Tum mere liye ek veshya jaise ho.,hateful,Woman,MF1
Tum mere liye ek adivasi jaise ho.,hateful,Lower Caste,MF1
Tum mere liye ek kameene jaise ho.,hateful,Lower Caste,MF1
Tum mere liye ek dhobi jaise ho.,hateful,Lower Caste,MF1
Tum mere liye ek chamar jaise ho.,hateful,Dalit,MF1
Tum mere liye ek bhaangi jaise ho.,hateful,Dalit,MF1
Tum mere liye ek fuckistani jaise ho.,hateful,Pakistani,MF1
Tum mere liye ek paki jaise ho.,hateful,Pakistani,MF1
Tum mere liye ek mulle jaise ho.,hateful,Muslim,MF1
Tum mere liye ek jihadi jaise ho.,hateful,Muslim,MF1
Tum mere liye ek malaun jaise ho.,hateful,Hindu,MF1
Tum mere liye ek kanglu jaise ho.,hateful,Bangladeshi,MF1
Tum mere liye ek chakke jaise ho.,hateful,Eunuch,MF1
Yeh sirf tum jaise randi ke liye samanya hai.,hateful,Woman,MF1
Yeh sirf tum jaise kutiya ke liye samanya hai.,hateful,Woman,MF1
Yeh sirf tum jaise fuhad ke liye samanya hai.,hateful,Woman,MF1
Yeh sirf tum jaise veshya ke liye samanya hai.,hateful,Woman,MF1
Yeh sirf tum jaise adivasi ke liye samanya hai.,hateful,Lower Caste,MF1
Yeh sirf tum jaise kameene ke liye samanya hai.,hateful,Lower Caste,MF1
Yeh sirf tum jaise dhobi ke liye samanya hai.,hateful,Lower Caste,MF1
Yeh sirf tum jaise chamar ke liye samanya hai.,hateful,Dalit,MF1
Yeh sirf tum jaise bhaangi ke liye samanya hai.,hateful,Dalit,MF1
Yeh sirf tum jaise fuckistani ke liye samanya hai.,hateful,Pakistani,MF1
Yeh sirf tum jaise paki ke liye samanya hai.,hateful,Pakistani,MF1
Yeh sirf tum jaise mulle ke liye samanya hai.,hateful,Muslim,MF1
Yeh sirf tum jaise jihadi ke liye samanya hai.,hateful,Muslim,MF1
Yeh sirf tum jaise malaun ke liye samanya hai.,hateful,Hindu,MF1
Yeh sirf tum jaise kanglu ke liye samanya hai.,hateful,Bangladeshi,MF1
Yeh sirf tum jaise chakke ke liye samanya hai.,hateful,Eunuch,MF1
Ek aur randi.,hateful,Woman,MF1
Ek aur kutiya.,hateful,Woman,MF1
Ek aur fuhad.,hateful,Woman,MF1
Ek aur veshya.,hateful,Woman,MF1
Ek aur adivasi.,hateful,Lower Caste,MF1
Ek aur kameene.,hateful,Lower Caste,MF1
Ek aur dhobi.,hateful,Lower Caste,MF1
Ek aur chamar.,hateful,Dalit,MF1
Ek aur bhaangi.,hateful,Dalit,MF1
Ek aur fuckistani.,hateful,Pakistani,MF1
Ek aur paki.,hateful,Pakistani,MF1
Ek aur mulle.,hateful,Muslim,MF1
Ek aur jihadi.,hateful,Muslim,MF1
Ek aur malaun.,hateful,Hindu,MF1
Ek aur kanglu.,hateful,Bangladeshi,MF1
Ek aur chakke.,hateful,Eunuch,MF1
Ve sirph kuch randiyon ka jhund hain.,hateful,Woman,MF1
Ve sirph kuch kutiyon ka jhund hain.,hateful,Woman,MF1
Ve sirph kuch fuhadon ka jhund hain.,hateful,Woman,MF1
Ve sirph kuch veshyaon ka jhund hain.,hateful,Woman,MF1
Ve sirph kuch adivasiyon ka jhund hain.,hateful,Lower Caste,MF1
Ve sirph kuch kameenon ka jhund hain.,hateful,Lower Caste,MF1
Ve sirph kuch dhobiyon ka jhund hain.,hateful,Lower Caste,MF1
Ve sirph kuch chamaron ka jhund hain.,hateful,Dalit,MF1
Ve sirph kuch bhaangiyon ka jhund hain.,hateful,Dalit,MF1
Ve sirph kuch fuckistaniyon ka jhund hain.,hateful,Pakistani,MF1
Ve sirph kuch pakiyon ka jhund hain.,hateful,Pakistani,MF1
Ve sirph kuch mullon ka jhund hain.,hateful,Muslim,MF1
Ve sirph kuch jihadiyon ka jhund hain.,hateful,Muslim,MF1
Ve sirph kuch malaunon ka jhund hain.,hateful,Hindu,MF1
Ve sirph kuch kangladeshion ka jhund hain.,hateful,Bangladeshi,MF1
Ve sirph kuch chakkon ka jhund hain.,hateful,Eunuch,MF1
Tum ek randi ke alawa kuch nahi ho.,hateful,Woman,MF1
Tum ek kutiya ke alawa kuch nahi ho.,hateful,Woman,MF1
Tum ek fuhad ke alawa kuch nahi ho.,hateful,Woman,MF1
Tum ek veshya ke alawa kuch nahi ho.,hateful,Woman,MF1
Tum ek adivasi ke alawa kuch nahi ho.,hateful,Lower Caste,MF1
Tum ek kameene ke alawa kuch nahi ho.,hateful,Lower Caste,MF1
Tum ek dhobi ke alawa kuch nahi ho.,hateful,Lower Caste,MF1
Tum ek chamar ke alawa kuch nahi ho.,hateful,Dalit,MF1
Tum ek bhaangi ke alawa kuch nahi ho.,hateful,Dalit,MF1
Tum ek fuckistani ke alawa kuch nahi ho.,hateful,Pakistani,MF1
Tum ek paki ke alawa kuch nahi ho.,hateful,Pakistani,MF1
Tum ek mulle ke alawa kuch nahi ho.,hateful,Muslim,MF1
Tum ek jihadi ke alawa kuch nahi ho.,hateful,Muslim,MF1
Tum ek malaun ke alawa kuch nahi ho.,hateful,Hindu,MF1
Tum ek kanglu ke alawa kuch nahi ho.,hateful,Bangladeshi,MF1
Tum ek chakke ke alawa kuch nahi ho.,hateful,Eunuch,MF1
Vishisht randi vyavahaar.,hateful,Woman,MF1
Vishisht kutiya vyavahaar.,hateful,Woman,MF1
Vishisht fuhad vyavahaar.,hateful,Woman,MF1
Vishisht veshya vyavahaar.,hateful,Woman,MF1
Vishisht adivasi vyavahaar.,hateful,Lower Caste,MF1
Vishisht kameene vyavahaar.,hateful,Lower Caste,MF1
Vishisht dhobi vyavahaar.,hateful,Lower Caste,MF1
Vishisht chamar vyavahaar.,hateful,Dalit,MF1
Vishisht bhaangi vyavahaar.,hateful,Dalit,MF1
Vishisht fuckistani vyavahaar.,hateful,Pakistani,MF1
Vishisht paki vyavahaar.,hateful,Pakistani,MF1
Vishisht mulle vyavahaar.,hateful,Muslim,MF1
Vishisht jihadi vyavahaar.,hateful,Muslim,MF1
Vishisht malaun vyavahaar.,hateful,Hindu,MF1
Vishisht kanglu vyavahaar.,hateful,Bangladeshi,MF1
Vishisht chakke vyavahaar.,hateful,Eunuch,MF1
Randi khud ko niyantrit bhi nahin kar sakte.,hateful,Woman,MF1
Kutiya khud ko niyantrit bhi nahin kar sakte.,hateful,Woman,MF1
Fuhad khud ko niyantrit bhi nahin kar sakte.,hateful,Woman,MF1
Veshya khud ko niyantrit bhi nahin kar sakte.,hateful,Woman,MF1
Adivasi khud ko niyantrit bhi nahin kar sakte.,hateful,Lower Caste,MF1
Kameene khud ko niyantrit bhi nahin kar sakte.,hateful,Lower Caste,MF1
Dhobi khud ko niyantrit bhi nahin kar sakte.,hateful,Lower Caste,MF1
Chamar khud ko niyantrit bhi nahin kar sakte.,hateful,Dalit,MF1
Bhaangi khud ko niyantrit bhi nahin kar sakte.,hateful,Dalit,MF1
fuckistani khud ko niyantrit bhi nahin kar sakte.,hateful,Pakistani,MF1
Paki khud ko niyantrit bhi nahin kar sakte.,hateful,Pakistani,MF1
Mulle khud ko niyantrit bhi nahin kar sakte.,hateful,Muslim,MF1
Jihadi khud ko niyantrit bhi nahin kar sakte.,hateful,Muslim,MF1
Malaun khud ko niyantrit bhi nahin kar sakte.,hateful,Hindu,MF1
Kanglu khud ko niyantrit bhi nahin kar sakte.,hateful,Bangladeshi,MF1
Chakke khud ko niyantrit bhi nahin kar sakte.,hateful,Eunuch,MF1
Is desh me bahut sare randi hain.,hateful,Woman,MF1
Is desh me bahut sare kutiya hain.,hateful,Woman,MF1
Is desh me bahut sare fuhad hain.,hateful,Woman,MF1
Is desh me bahut sare veshya hain.,hateful,Woman,MF1
Is desh me bahut sare adivasi hain.,hateful,Lower Caste,MF1
Is desh me bahut sare kameene hain.,hateful,Lower Caste,MF1
Is desh me bahut sare dhobi hain.,hateful,Lower Caste,MF1
Is desh me bahut sare chamar hain.,hateful,Dalit,MF1
Is desh me bahut sare bhaangi hain.,hateful,Dalit,MF1
Is desh me bahut sare fuckistani hain.,hateful,Pakistani,MF1
Is desh me bahut sare paki hain.,hateful,Pakistani,MF1
Is desh me bahut sare mulle hain.,hateful,Muslim,MF1
Is desh me bahut sare jihadi hain.,hateful,Muslim,MF1
Is desh me bahut sare malaun hain.,hateful,Hindu,MF1
Is desh me bahut sare kanglu hain.,hateful,Bangladeshi,MF1
Is desh me bahut sare chakke hain.,hateful,Eunuch,MF1
Tumhe nahi pata ki tum ek randi ho.,hateful,Woman,MF1
Tumhe nahi pata ki tum ek kutiya ho.,hateful,Woman,MF1
Tumhe nahi pata ki tum ek fuhad ho.,hateful,Woman,MF1
Tumhe nahi pata ki tum ek veshya ho.,hateful,Woman,MF1
Tumhe nahi pata ki tum ek adivasi ho.,hateful,Lower Caste,MF1
Tumhe nahi pata ki tum ek kameene ho.,hateful,Lower Caste,MF1
Tumhe nahi pata ki tum ek dhobi ho.,hateful,Lower Caste,MF1
Tumhe nahi pata ki tum ek chamar ho.,hateful,Dalit,MF1
Tumhe nahi pata ki tum ek bhaangi ho.,hateful,Dalit,MF1
Tumhe nahi pata ki tum ek fuckistani ho.,hateful,Pakistani,MF1
Tumhe nahi pata ki tum ek paki ho.,hateful,Pakistani,MF1
Tumhe nahi pata ki tum ek mulle ho.,hateful,Muslim,MF1
Tumhe nahi pata ki tum ek jihadi ho.,hateful,Muslim,MF1
Tumhe nahi pata ki tum ek malaun ho.,hateful,Hindu,MF1
Tumhe nahi pata ki tum ek kanglu ho.,hateful,Bangladeshi,MF1
Tumhe nahi pata ki tum ek chakke ho.,hateful,Eunuch,MF1
In randiyon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Woman,MF1
In kutiyon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Woman,MF1
In fuhadon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Woman,MF1
In veshyaon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Woman,MF1
In adivasiyon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Lower Caste,MF1
In kameenon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Lower Caste,MF1
In dhobiyon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Lower Caste,MF1
In chamaron ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Dalit,MF1
In bhaangiyon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Dalit,MF1
In fuckistaniyon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Pakistani,MF1
In pakiyon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Pakistani,MF1
In mullon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Muslim,MF1
In jihadiyon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Muslim,MF1
In malaunon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Hindu,MF1
In kangladeshion ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Bangladeshi,MF1
In chakkon ke bina aaj hamara desh kitne upar pahuch chuka hota.,hateful,Eunuch,MF1
Tum mere liye ek रेंडी jaise ho.,hateful,Woman,MF2
Tum mere liye ek कुटिया jaise ho.,hateful,Woman,MF2
Tum mere liye ek फूहड़ jaise ho.,hateful,Woman,MF2
Tum mere liye ek वेश्या jaise ho.,hateful,Woman,MF2
Tum mere liye ek आदिवासी jaise ho.,hateful,Lower Caste,MF2
Tum mere liye ek कमीने jaise ho.,hateful,Lower Caste,MF2
Tum mere liye ek धोबी jaise ho.,hateful,Lower Caste,MF2
Tum mere liye ek चमार jaise ho.,hateful,Dalit,MF2
Tum mere liye ek भांगी jaise ho.,hateful,Dalit,MF2
Tum mere liye ek फ़ाकिस्तानी jaise ho.,hateful,Pakistani,MF2
Tum mere liye ek पाकी jaise ho.,hateful,Pakistani,MF2
Tum mere liye ek मुल्ले jaise ho.,hateful,Muslim,MF2
Tum mere liye ek जिहादी jaise ho.,hateful,Muslim,MF2
Tum mere liye ek मालाउन jaise ho.,hateful,Hindu,MF2
Tum mere liye ek कांगलू jaise ho.,hateful,Bangladeshi,MF2
Tum mere liye ek छक्के jaise ho.,hateful,Eunuch,MF2
Yeh sirf tum jaise रेंडी ke liye samanya hai.,hateful,Woman,MF2
Yeh sirf tum jaise कुटिया ke liye samanya hai.,hateful,Woman,MF2
Yeh sirf tum jaise फूहड़ ke liye samanya hai.,hateful,Woman,MF2
Yeh sirf tum jaise वेश्या ke liye samanya hai.,hateful,Woman,MF2
Yeh sirf tum jaise आदिवासी ke liye samanya hai.,hateful,Lower Caste,MF2
Yeh sirf tum jaise कमीने ke liye samanya hai.,hateful,Lower Caste,MF2
Yeh sirf tum jaise धोबी ke liye samanya hai.,hateful,Lower Caste,MF2
Yeh sirf tum jaise चमार ke liye samanya hai.,hateful,Dalit,MF2
Yeh sirf tum jaise भांगी ke liye samanya hai.,hateful,Dalit,MF2
Yeh sirf tum jaise फ़ाकिस्तानी ke liye samanya hai.,hateful,Pakistani,MF2
Yeh sirf tum jaise पाकी ke liye samanya hai.,hateful,Pakistani,MF2
Yeh sirf tum jaise मुल्ले ke liye samanya hai.,hateful,Muslim,MF2
Yeh sirf tum jaise जिहादी ke liye samanya hai.,hateful,Muslim,MF2
Yeh sirf tum jaise मालाउन ke liye samanya hai.,hateful,Hindu,MF2
Yeh sirf tum jaise कांगलू ke liye samanya hai.,hateful,Bangladeshi,MF2
Yeh sirf tum jaise छक्के ke liye samanya hai.,hateful,Eunuch,MF2
Ek aur रेंडी.,hateful,Woman,MF2
Ek aur कुटिया.,hateful,Woman,MF2
Ek aur फूहड़.,hateful,Woman,MF2
Ek aur वेश्या.,hateful,Woman,MF2
Ek aur आदिवासी.,hateful,Lower Caste,MF2
Ek aur कमीने.,hateful,Lower Caste,MF2
Ek aur धोबी.,hateful,Lower Caste,MF2
Ek aur चमार.,hateful,Dalit,MF2
Ek aur भांगी.,hateful,Dalit,MF2
Ek aur फ़ाकिस्तानी.,hateful,Pakistani,MF2
Ek aur पाकी.,hateful,Pakistani,MF2
Ek aur मुल्ले.,hateful,Muslim,MF2
Ek aur जिहादी.,hateful,Muslim,MF2
Ek aur मालाउन.,hateful,Hindu,MF2
Ek aur कांगलू.,hateful,Bangladeshi,MF2
Ek aur छक्के.,hateful,Eunuch,MF2
Ve sirph kuch रंडियों ka jhund hain.,hateful,Woman,MF2
Ve sirph kuch कुटियों ka jhund hain.,hateful,Woman,MF2
Ve sirph kuch फूहड़ों ka jhund hain.,hateful,Woman,MF2
Ve sirph kuch वेश्याओं ka jhund hain.,hateful,Woman,MF2
Ve sirph kuch आदिवासियों ka jhund hain.,hateful,Lower Caste,MF2
Ve sirph kuch कमीनों ka jhund hain.,hateful,Lower Caste,MF2
Ve sirph kuch धोबियों ka jhund hain.,hateful,Lower Caste,MF2
Ve sirph kuch चमारों ka jhund hain.,hateful,Dalit,MF2
Ve sirph kuch भांजियों ka jhund hain.,hateful,Dalit,MF2
Ve sirph kuch फ़ाकिस्तानीयों ka jhund hain.,hateful,Pakistani,MF2
Ve sirph kuch पाकीियों ka jhund hain.,hateful,Pakistani,MF2
Ve sirph kuch मुल्लों ka jhund hain.,hateful,Muslim,MF2
Ve sirph kuch जिहादियों ka jhund hain.,hateful,Muslim,MF2
Ve sirph kuch मलऊनों ka jhund hain.,hateful,Hindu,MF2
Ve sirph kuch कंगलुओं ka jhund hain.,hateful,Bangladeshi,MF2
Ve sirph kuch छक्कों ka jhund hain.,hateful,Eunuch,MF2
Tum ek रेंडी ke alawa kuch nahi ho.,hateful,Woman,MF2
Tum ek कुटिया ke alawa kuch nahi ho.,hateful,Woman,MF2
Tum ek फूहड़ ke alawa kuch nahi ho.,hateful,Woman,MF2
Tum ek वेश्या ke alawa kuch nahi ho.,hateful,Woman,MF2
Tum ek आदिवासी ke alawa kuch nahi ho.,hateful,Lower Caste,MF2
Tum ek कमीने ke alawa kuch nahi ho.,hateful,Lower Caste,MF2
Tum ek धोबी ke alawa kuch nahi ho.,hateful,Lower Caste,MF2
Tum ek चमार ke alawa kuch nahi ho.,hateful,Dalit,MF2
Tum ek भांगी ke alawa kuch nahi ho.,hateful,Dalit,MF2
Tum ek फ़ाकिस्तानी ke alawa kuch nahi ho.,hateful,Pakistani,MF2
