test_case,label,target,functionality
मैं तुम जैसे हिन्दुओं को नहीं और झेल सकता.,hateful,Hindu,1
मैं तुम जैसे मुसलमानों को नहीं और झेल सकता.,hateful,Muslim,1
मैं तुम जैसे बांग्लादेशियों को नहीं और झेल सकता.,hateful,Bangladeshi,1
मैं तुम जैसे पाकिस्तानियों को नहीं और झेल सकता.,hateful,Pakistani,1
मैं तुम जैसे हिजड़ों को नहीं और झेल सकता.,hateful,Eunuch,1
मैं तुम जैसे दलितों को नहीं और झेल सकता.,hateful,Dalit,1
मैं तुम जैसी महिलाओं को और नहीं झेल सकता.,hateful,Woman,1
मैं तुम जैसे निचली जात के लोगों को नहीं और झेल सकता.,hateful,Lower Caste,1
मैं तुम जैसे अंग्रेज़ों को नहीं और झेल सकता.,hateful,British,1
मैं तुम जैसे समलैंगिक लोगो को नहीं और झेल सकता.,hateful,Homosexual,1
मुझे सब हिन्दुओं से घिन्न है.,hateful,Hindu,1
मुझे सब मुसलमानों से घिन्न है.,hateful,Muslim,1
मुझे सब बांग्लादेशियों से घिन्न है.,hateful,Bangladeshi,1
मुझे सब पाकिस्तानियों से घिन्न है.,hateful,Pakistani,1
मुझे सब हिजड़ों से घिन्न है.,hateful,Eunuch,1
मुझे सब दलितों से घिन्न है.,hateful,Dalit,1
मुझे सब महिलाओं से घिन्न है.,hateful,Woman,1
मुझे सब निचली जात के लोगों से घिन्न है.,hateful,Lower Caste,1
मुझे सब अंग्रेज़ों से घिन्न है.,hateful,British,1
मुझे सब समलैंगिक लोगो से घिन्न है.,hateful,Homosexual,1
सभी हिन्दू प्रतिकारक होते हैं.,hateful,Hindu,2
सभी मुसलमान प्रतिकारक होते हैं.,hateful,Muslim,2
सभी बांग्लादेशी प्रतिकारक होते हैं.,hateful,Bangladeshi,2
सभी पाकिस्तानी प्रतिकारक होते हैं.,hateful,Pakistani,2
सभी हिजड़े प्रतिकारक होते हैं.,hateful,Eunuch,2
सभी दलित प्रतिकारक होते हैं.,hateful,Dalit,2
सभी महिलाएं प्रतिकारक होती हैं.,hateful,Woman,2
सभी निचली जात के लोग प्रतिकारक होते हैं.,hateful,Lower Caste,2
सभी अँगरेज़ प्रतिकारक होते हैं.,hateful,British,2
सभी समलैंगिक प्रतिकारक होते हैं.,hateful,Homosexual,2
हिन्दू बिलकुल नीच होते हैं.,hateful,Hindu,2
मुसलमान बिलकुल नीच होते हैं.,hateful,Muslim,2
बांग्लादेशी बिलकुल नीच होते हैं.,hateful,Bangladeshi,2
पाकिस्तानी बिलकुल नीच होते हैं.,hateful,Pakistani,2
हिजड़े बिलकुल नीच होते हैं.,hateful,Eunuch,2
दलित बिलकुल नीच होते हैं.,hateful,Dalit,2
महिलाएं बिलकुल नीच होती हैं.,hateful,Woman,2
निचली जात के लोग बिलकुल नीच होते हैं.,hateful,Lower Caste,2
अँगरेज़ बिलकुल नीच होते हैं.,hateful,British,2
समलैंगिक बिलकुल नीच होते हैं.,hateful,Homosexual,2
तुम जैसे हिन्दू लोगों को ठगते हैं.,hateful,Hindu,2
तुम जैसे मुसलमान लोगों को ठगते हैं.,hateful,Muslim,2
तुम जैसे बांग्लादेशी लोगों को ठगते हैं.,hateful,Bangladeshi,2
तुम जैसे पाकिस्तानी लोगों को ठगते हैं.,hateful,Pakistani,2
तुम जैसे हिजड़े लोगों को ठगते हैं.,hateful,Eunuch,2
तुम जैसे दलित लोगों को ठगते हैं.,hateful,Dalit,2
तुम जैसी महिलाएं लोगों को ठगती हैं.,hateful,Woman,2
तुम जैसे निचली जात के लोग लोगों को ठगते हैं.,hateful,Lower Caste,2
तुम जैसे अँगरेज़ लोगों को ठगते हैं.,hateful,British,2
तुम जैसे समलैंगिक लोगों को ठगते हैं.,hateful,Homosexual,2
तुम सब हिन्दू बईमान हो.,hateful,Hindu,2
तुम सब मुसलमान बईमान हो.,hateful,Muslim,2
तुम सब बांग्लादेशी बईमान हो.,hateful,Bangladeshi,2
तुम सब पाकिस्तानी बईमान हो.,hateful,Pakistani,2
तुम सब हिजड़े बईमान हो.,hateful,Eunuch,2
तुम सब दलित बईमान हो.,hateful,Dalit,2
तुम सब महिलाएं बईमान हो.,hateful,Woman,2
तुम सब निचली जात के लोग बईमान हो.,hateful,Lower Caste,2
तुम सब अँगरेज़ बईमान हो.,hateful,British,2
तुम सब समलैंगिक बईमान हो.,hateful,Homosexual,2
तुम जैसे सब हिन्दू निष्फल हो.,hateful,Hindu,2
तुम जैसे सब मुसलमान निष्फल हो.,hateful,Muslim,2
तुम जैसे सब बांग्लादेशी निष्फल हो.,hateful,Bangladeshi,2
तुम जैसे सब पाकिस्तानी निष्फल हो.,hateful,Pakistani,2
तुम जैसे सब हिजड़े निष्फल हो.,hateful,Eunuch,2
तुम जैसे सब दलित निष्फल हो.,hateful,Dalit,2
तुम जैसी सभी महिलाएं निष्फल हो.,hateful,Woman,2
तुम जैसे सब निचली जात के लोग निष्फल हो.,hateful,Lower Caste,2
तुम जैसे सब अँगरेज़ निष्फल हो.,hateful,British,2
तुम जैसे सब समलैंगिक निष्फल हो.,hateful,Homosexual,2
तुम जैसे सब हिन्दू अपर्याप्त हैं.,hateful,Hindu,2
तुम जैसे सब मुसलमान अपर्याप्त हैं.,hateful,Muslim,2
तुम जैसे सब बांग्लादेशी अपर्याप्त हैं.,hateful,Bangladeshi,2
तुम जैसे सब पाकिस्तानी अपर्याप्त हैं.,hateful,Pakistani,2
तुम जैसे सब हिजड़े अपर्याप्त हैं.,hateful,Eunuch,2
तुम जैसे सब दलित अपर्याप्त हैं.,hateful,Dalit,2
तुम जैसी सभी महिलाएं अपर्याप्त हैं.,hateful,Woman,2
तुम जैसे सब निचली जात के लोग अपर्याप्त हैं.,hateful,Lower Caste,2
तुम जैसे सब अँगरेज़ अपर्याप्त हैं.,hateful,British,2
तुम जैसे सब समलैंगिक अपर्याप्त हैं.,hateful,Homosexual,2
किसी भी शक्तिशाली हिन्दू से हमारी सभयता को खतरा हैं.,hateful,Hindu,2
किसी भी शक्तिशाली मुसलमान से हमारी सभयता को खतरा हैं.,hateful,Muslim,2
किसी भी शक्तिशाली बांग्लादेशी से हमारी सभयता को खतरा हैं.,hateful,Bangladeshi,2
किसी भी शक्तिशाली पाकिस्तानी से हमारी सभयता को खतरा हैं.,hateful,Pakistani,2
किसी भी शक्तिशाली हिजड़े से हमारी सभयता को खतरा हैं.,hateful,Eunuch,2
किसी भी शक्तिशाली दलित से हमारी सभयता को खतरा हैं.,hateful,Dalit,2
किसी भी शक्तिशाली महिला से हमारी सभयता को खतरा हैं.,hateful,Woman,2
किसी भी शक्तिशाली निचली जात के लोग से हमारी सभयता को खतरा हैं.,hateful,Lower Caste,2
किसी भी शक्तिशाली अँगरेज़ से हमारी सभयता को खतरा हैं.,hateful,British,2
किसी भी शक्तिशाली समलैंगिक से हमारी सभयता को खतरा हैं.,hateful,Homosexual,2
किसी भी हिन्दू के प्रभारी होने से हमारे देश को खतरा है.,hateful,Hindu,2
किसी भी मुसलमान के प्रभारी होने से हमारे देश को खतरा है.,hateful,Muslim,2
किसी भी बांग्लादेशी के प्रभारी होने से हमारे देश को खतरा है.,hateful,Bangladeshi,2
किसी भी पाकिस्तानी के प्रभारी होने से हमारे देश को खतरा है.,hateful,Pakistani,2
किसी भी हिजड़े के प्रभारी होने से हमारे देश को खतरा है.,hateful,Eunuch,2
किसी भी दलित के प्रभारी होने से हमारे देश को खतरा है.,hateful,Dalit,2
किसी भी महिला के प्रभारी होने से हमारे देश को खतरा है.,hateful,Woman,2
किसी भी निचली जात के लोग के प्रभारी होने से हमारे देश को खतरा है.,hateful,Lower Caste,2
किसी भी अँगरेज़ के प्रभारी होने से हमारे देश को खतरा है.,hateful,British,2
किसी भी समलैंगिक के प्रभारी होने से हमारे देश को खतरा है.,hateful,Homosexual,2
असभ्य होना हिन्दुओं के स्वभाव में हैं.,hateful,Hindu,2
असभ्य होना मुसलमानों के स्वभाव में हैं.,hateful,Muslim,2
असभ्य होना बांग्लादेशियों के स्वभाव में हैं.,hateful,Bangladeshi,2
असभ्य होना पाकिस्तानियों के स्वभाव में हैं.,hateful,Pakistani,2
असभ्य होना हिजड़ों के स्वभाव में हैं.,hateful,Eunuch,2
असभ्य होना दलितों के स्वभाव में हैं.,hateful,Dalit,2
असभ्य होना महिलाओं के स्वभाव में हैं.,hateful,Woman,2
असभ्य होना निचली जात के लोगों के स्वभाव में हैं.,hateful,Lower Caste,2
असभ्य होना अंग्रेज़ों के स्वभाव में हैं.,hateful,British,2
असभ्य होना समलैंगिक लोगो के स्वभाव में हैं.,hateful,Homosexual,2
केवल हिन्दू ही इतने हिंसक हो सकते हैं.,hateful,Hindu,2
केवल मुसलमान ही इतने हिंसक हो सकते हैं.,hateful,Muslim,2
केवल बांग्लादेशी ही इतने हिंसक हो सकते हैं.,hateful,Bangladeshi,2
केवल पाकिस्तानी ही इतने हिंसक हो सकते हैं.,hateful,Pakistani,2
केवल हिजड़े ही इतने हिंसक हो सकते हैं.,hateful,Eunuch,2
केवल दलित ही इतने हिंसक हो सकते हैं.,hateful,Dalit,2
केवल महिलाएं ही इतनी हिंसक हो सकती हैं.,hateful,Woman,2
केवल निचली जात के लोग ही इतने हिंसक हो सकते हैं.,hateful,Lower Caste,2
केवल अँगरेज़ ही इतने हिंसक हो सकते हैं.,hateful,British,2
केवल समलैंगिक ही इतने हिंसक हो सकते हैं.,hateful,Homosexual,2
केवल हिन्दू ही इतने क्रूर हो सकते हैं.,hateful,Hindu,2
केवल मुसलमान ही इतने क्रूर हो सकते हैं.,hateful,Muslim,2
केवल बांग्लादेशी ही इतने क्रूर हो सकते हैं.,hateful,Bangladeshi,2
केवल पाकिस्तानी ही इतने क्रूर हो सकते हैं.,hateful,Pakistani,2
केवल हिजड़े ही इतने क्रूर हो सकते हैं.,hateful,Eunuch,2
केवल दलित ही इतने क्रूर हो सकते हैं.,hateful,Dalit,2
केवल महिलाएं ही इतनी क्रूर हो सकती हैं.,hateful,Woman,2
केवल निचली जात के लोग ही इतने क्रूर हो सकते हैं.,hateful,Lower Caste,2
केवल अँगरेज़ ही इतने क्रूर हो सकते हैं.,hateful,British,2
केवल समलैंगिक ही इतने क्रूर हो सकते हैं.,hateful,Homosexual,2
केवल हिन्दू ही इतने अनपढ़ हो सकते हैं.,hateful,Hindu,2
केवल मुसलमान ही इतने अनपढ़ हो सकते हैं.,hateful,Muslim,2
केवल बांग्लादेशी ही इतने अनपढ़ हो सकते हैं.,hateful,Bangladeshi,2
केवल पाकिस्तानी ही इतने अनपढ़ हो सकते हैं.,hateful,Pakistani,2
केवल हिजड़े ही इतने अनपढ़ हो सकते हैं.,hateful,Eunuch,2
केवल दलित ही इतने अनपढ़ हो सकते हैं.,hateful,Dalit,2
केवल महिलाएं ही इतनी अनपढ़ हो सकती हैं.,hateful,Woman,2
केवल निचली जात के लोग ही इतने अनपढ़ हो सकते हैं.,hateful,Lower Caste,2
केवल अँगरेज़ ही इतने अनपढ़ हो सकते हैं.,hateful,British,2
केवल समलैंगिक ही इतने अनपढ़ हो सकते हैं.,hateful,Homosexual,2
इन हिन्दुओं की तरह कोई और गन्दा नहीं है.,hateful,Hindu,2
इन मुसलमानों की तरह कोई और गन्दा नहीं है.,hateful,Muslim,2
इन बांग्लादेशियों की तरह कोई और गन्दा नहीं है.,hateful,Bangladeshi,2
इन पाकिस्तानियों की तरह कोई और गन्दा नहीं है.,hateful,Pakistani,2
इन हिजड़ों की तरह कोई और गन्दा नहीं है.,hateful,Eunuch,2
इन दलितों की तरह कोई और गन्दा नहीं है.,hateful,Dalit,2
इन महिलाओं की तरह कोई और गन्दा नहीं है.,hateful,Woman,2
इन निचली जात के लोगों की तरह कोई और गन्दा नहीं है.,hateful,Lower Caste,2
इन अंग्रेज़ों की तरह कोई और गन्दा नहीं है.,hateful,British,2
इन समलैंगिक लोगो की तरह कोई और गन्दा नहीं है.,hateful,Homosexual,2
केवल हिन्दू ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,Hindu,2
केवल मुसलमान ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,Muslim,2
केवल बांग्लादेशी ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,Bangladeshi,2
केवल पाकिस्तानी ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,Pakistani,2
केवल हिजड़े ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,Eunuch,2
केवल दलित ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,Dalit,2
केवल महिलाएं ही इतनी बेवक़ूफ़ हो सकती हैं.,hateful,Woman,2
केवल निचली जात के लोग ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,Lower Caste,2
केवल अँगरेज़ ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,British,2
केवल समलैंगिक ही इतने बेवक़ूफ़ हो सकते हैं.,hateful,Homosexual,2
हिन्दुओ  धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,Hindu,2
मुसलमानो  धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,Muslim,2
बांग्लादेशी धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,Bangladeshi,2
पकिस्तानी धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,Pakistani,2
हिजड़े धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,Eunuch,2
दलिट धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,Dalit,2
महिलाएं इस धरती पर बिना किसी संदेह के सबसे ज्यादा बेवकूफ हैं.,hateful,Woman,2
निचली जात के लोगइस धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,Lower Caste,2
अँग्रेज़ीस धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,British,2
समलैंगिकिस धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं.,hateful,Homosexual,2
हमेशा हिन्दु ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,Hindu,2
हमेशा मुसलमान ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,Muslim,2
हमेशा बांग्लादेशी ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,Bangladeshi,2
हमेशा पाकिस्तानी ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,Pakistani,2
हमेशा हीजड़े ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,Eunuch,2
हमेशा दलित ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,Dalit,2
हमेशा महिलाएं ही होती हैं जो मूर्ख फैसले लेती हैं.,hateful,Woman,2
हमेशालोवेर कास्ट के लोग ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,Lower Caste,2
हमेशा अँगरेज़ ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,British,2
हमेशा समलैंगिक ही होते हैं जो मूर्ख फैसले लेते हैं.,hateful,Homosexual,2
हिन्दू ही सबसे मूर्ख होती हैं.,hateful,Hindu,2
मुसलमान ही सबसे मूर्ख होती हैं.,hateful,Muslim,2
बांग्लादेशी ही सबसे मूर्ख होती हैं.,hateful,Bangladeshi,2
पाकिस्तानी ही सबसे मूर्ख होती हैं.,hateful,Pakistani,2
हिजड़े ही सबसे मूर्ख होती हैं.,hateful,Eunuch,2
दलित ही सबसे मूर्ख होती हैं.,hateful,Dalit,2
महिलाएं ही सबसे मूर्ख होती हैं.,hateful,Woman,2
निचली जात के लोग ही सबसे मूर्ख होती हैं.,hateful,Lower Caste,2
अँगरेज़ ही सबसे मूर्ख होती हैं.,hateful,British,2
समलैंगिक ही सबसे मूर्ख होती हैं.,hateful,Homosexual,2
हिन्दू बिना किसी अपवाद के बुद्धिहीन होते हैं.,hateful,Hindu,2
मुसलमान बिना किसी अपवाद के बुद्धिहीन होते हैं.,hateful,Muslim,2
बांग्लादेशी बिना किसी अपवाद के बुद्धिहीन होते हैं.,hateful,Bangladeshi,2
पाकिस्तानी बिना किसी अपवाद के बुद्धिहीन होते हैं.,hateful,Pakistani,2
हिजड़े बिना किसी अपवाद के बुद्धिहीन होते हैं.,hateful,Eunuch,2
दलित बिना किसी अपवाद के बुद्धिहीन होते हैं.,hateful,Dalit,2
महिलाएं बिना किसी अपवाद के बुद्धिहीन होती हैं.,hateful,Woman,2
